,property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,building_size
44,M1401411100,condo,538888,0.0,2,2,San Jose,95135,CA,Santa Clara,1223
45,M2557108806,condo,630000,0.0,2,2,San Jose,95125,CA,Santa Clara,1071
46,M1464080676,condo,1425000,0.0,2,2,Palo Alto,94301,CA,Santa Clara,1154
47,M1945238073,condo,1200000,1.0,2,3,San Jose,95134,CA,Santa Clara,1887
48,M1672944694,condo,1550000,1.0,3,4,Sunnyvale,94086,CA,Santa Clara,1914
49,M1417336252,condo,475000,0.0,1,2,San Jose,95123,CA,Santa Clara,798
50,M1548152642,condo,777000,0.0,1,2,Mountain View,94040,CA,Santa Clara,796
51,M1729886507,condo,1350000,0.0,2,2,Los Altos,94022,CA,Santa Clara,1270
52,M2125230650,condo,750000,0.0,2,2,San Jose,95135,CA,Santa Clara,1582
53,M1975297259,condo,1169900,1.0,1,2,Cupertino,95014,CA,Santa Clara,1216
54,M1924997500,condo,1098000,1.0,2,3,Fremont,94555,CA,Alameda,1607
55,M2889135758,condo,829999,1.0,2,2,San Jose,95134,CA,Santa Clara,1130
56,M1364171051,condo,689000,0.0,2,2,San Jose,95135,CA,Santa Clara,1370
57,M2405480778,condo,938000,0.0,2,2,Mountain View,94040,CA,Santa Clara,1140
58,M2017058991,condo,968000,1.0,2,3,San Jose,95126,CA,Santa Clara,1581
59,M1303359330,condo,649888,0.0,2,3,San Jose,95116,CA,Santa Clara,1200
60,M1414540084,condo,749999,0.0,2,2,San Jose,95110,CA,Santa Clara,1057
61,M2123644661,condo,575000,0.0,2,2,San Jose,95138,CA,Santa Clara,850
62,M9251609027,condo,862880,1.0,2,2,Fremont,94536,CA,Alameda,1283
63,M9760139208,condo,760000,0.0,2,2,Fremont,94555,CA,Alameda,1069
64,M9438478853,condo,916795,0.0,1,1,Santa Clara,95051,CA,Santa Clara,936
65,M1318155835,condo,538888,0.0,1,2,San Jose,95122,CA,Santa Clara,885
66,M1947629391,condo,699000,0.0,2,2,San Jose,95112,CA,Santa Clara,976
67,M1424997292,condo,695000,1.0,1,3,San Jose,95132,CA,Santa Clara,1159
68,M9165431378,condo,1285000,1.0,2,3,Sunnyvale,94089,CA,Santa Clara,1582
69,M9899419867,condo,1582690,1.0,4,4,Santa Clara,95051,CA,Santa Clara,2005
70,M1852356915,condo,1298000,1.0,2,3,Cupertino,95014,CA,Santa Clara,1445
71,M1294460993,condo,690000,0.0,2,3,San Jose,95116,CA,Santa Clara,1441
72,M2152305320,condo,655000,0.0,1,2,San Jose,95132,CA,Santa Clara,968
73,M2177861533,condo,739950,0.0,2,2,San Jose,95135,CA,Santa Clara,1509
74,M2060545133,condo,1499000,1.0,3,4,Sunnyvale,94085,CA,Santa Clara,1875
75,M1168396607,condo,935000,0.0,2,2,San Jose,95120,CA,Santa Clara,1299
