,property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,building_size
118,M2704936713,condo,200000.0,1.0,2,2,Sacramento,95841,CA,Sacramento,1210
119,M2408491432,condo,170000.0,0.0,1,2,Sacramento,95823,CA,Sacramento,1034
120,M1560984688,condo,249000.0,1.0,1,2,Sacramento,95825,CA,Sacramento,1228
121,M2350508775,condo,275000.0,0.0,2,2,Citrus Heights,95610,CA,Sacramento,1171
122,M2840278148,condo,169900.0,0.0,2,2,Sacramento,95825,CA,Sacramento,1002
123,M2438631690,condo,269900.0,1.0,1,3,Sacramento,95826,CA,Sacramento,1191
124,M2540664158,condo,529000.0,0.0,1,1,Sacramento,95811,CA,Sacramento,942
125,M1975258832,condo,240000.0,1.0,1,4,Rancho Cordova,95670,CA,Sacramento,1476
126,M1953142030,condo,314950.0,0.0,2,3,Citrus Heights,95621,CA,Sacramento,1488
127,M1826977647,condo,199000.0,0.0,1,1,Sacramento,95831,CA,Sacramento,717
128,M1261677419,condo,329990.0,1.0,2,3,West Sacramento,95691,CA,Yolo,1487
129,M1155114644,condo,218000.0,0.0,2,2,Carmichael,95608,CA,Sacramento,1017
130,M1574796506,condo,275000.0,0.0,2,2,Roseville,95678,CA,Placer,1086
131,M2943481331,condo,255000.0,0.0,2,2,Sacramento,95825,CA,Sacramento,1228
132,M2526964082,condo,409000.0,0.0,2,3,Roseville,95678,CA,Placer,1674
133,M1953793649,condo,215000.0,0.0,1,2,Sacramento,95826,CA,Sacramento,1036
134,M2712932171,condo,338900.0,0.0,2,2,West Sacramento,95691,CA,Yolo,1728
135,M1050973270,condo,145000.0,0.0,1,2,Sacramento,95823,CA,Sacramento,895
136,M2018466078,condo,208800.0,0.0,1,3,Sacramento,95823,CA,Sacramento,1218
137,M2473912757,condo,159000.0,1.0,1,2,Sacramento,95823,CA,Sacramento,1116
138,M1802826809,condo,459000.0,0.0,2,4,Roseville,95747,CA,Placer,1512
139,M2224191228,condo,285000.0,1.0,2,3,Sacramento,95835,CA,Sacramento,1432
140,M2533871732,condo,180000.0,0.0,1,1,Sacramento,95825,CA,Sacramento,668
141,M2011293347,condo,251888.0,0.0,2,3,Sacramento,95828,CA,Sacramento,1058
142,M2130088518,condo,225000.0,0.0,1,2,Sacramento,95826,CA,Sacramento,1140
143,M2096942190,condo,215500.0,0.0,2,2,Sacramento,95834,CA,Sacramento,958
144,M2114652624,condo,258000.0,0.0,2,4,Sacramento,95841,CA,Sacramento,1449
145,M2311554492,condo,289000.0,0.0,2,2,Carmichael,95608,CA,Sacramento,1154
146,M1952992966,condo,313500.0,1.0,2,3,Citrus Heights,95621,CA,Sacramento,1548
147,M2719362426,condo,545000.0,1.0,2,3,Sacramento,95811,CA,Sacramento,1485
148,M2919571088,condo,225000.0,1.0,2,2,Sacramento,95842,CA,Sacramento,1456
149,M1564085590,condo,299000.0,0.0,2,3,Sacramento,95838,CA,Sacramento,1208
150,M2917872169,condo,270000.0,1.0,1,3,Sacramento,95826,CA,Sacramento,1191
151,M1074396613,condo,285000.0,1.0,2,3,Sacramento,95835,CA,Sacramento,1429
152,M2552616501,condo,179888.0,0.0,1,1,Sacramento,95825,CA,Sacramento,701
153,M2791364874,condo,265000.0,0.0,2,2,Sacramento,95838,CA,Sacramento,987
