,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size
123,M2990890307,condo,384900,1,1,2,Anaheim,3999 E Santa Ana Canyon Rd Apt 112,92807,CA,Orange,986
124,M1875120444,condo,319900,1,1,2,Anaheim,500 N Tustin Ave Apt 126,92807,CA,Orange,866
125,M1319748333,condo,270000,0,1,2,Anaheim,1166 S Citron St Unit 79,92805,CA,Orange,824
126,M2705009964,condo,375900,0,1,1,Anaheim,1801 E Katella Ave Apt 2129,92805,CA,Orange,728
127,M2292064833,condo,425000,1,1,3,Anaheim,2148 W York Cir,92804,CA,Orange,1343
128,M9829475459,condo,718000,1,3,4,Anaheim,967 E Mason Ln Unit 94,92805,CA,Orange,2070
129,M9202106073,condo,669000,1,3,3,Anaheim,2354 S Tapestry Way,92802,CA,Orange,1741
130,M9866054394,condo,583990,1,3,3,Anaheim,662 S Kinney Way,92805,CA,Orange,1699
131,M9669096972,condo,540990,0,3,3,Anaheim,668 S Kinney Way,92805,CA,Orange,1569
132,M1469730149,condo,250000,0,2,3,Anaheim,1250 S Brookhurst St Unit 1104,92804,CA,Orange,1172
133,M1745397698,condo,749900,0,3,3,Anaheim Hills,5810 E Mountain Loop Trl Unit 35,92807,CA,Orange,2016
134,M9758030238,condo,513990,1,2,2,Anaheim,665 S Kinney Way,92805,CA,Orange,1401
135,M1421307169,condo,405900,0,2,3,Anaheim,1901 W Greenleaf Ave Apt B,92801,CA,Orange,1257
136,M2444449487,condo,549000,0,2,3,Anaheim,435 W Center Street Promenade Unit 308,92805,CA,Orange,2179
137,M9952538906,condo,594000,1,2,2,Anaheim,923 E Mason Ln Unit 34,92805,CA,Orange,1554
138,M2624571746,condo,398000,0,2,2,Anaheim,2669 W Cameron Ct Unit 215,92801,CA,Orange,1138
139,M1456836133,condo,320000,0,2,3,Anaheim,1250 S Brookhurst St Unit 2051,92804,CA,Orange,1172
140,M2245860259,condo,560000,0,2,3,Anaheim,435 W Center Street Promenade Unit 336,92805,CA,Orange,1953
141,M1059643580,condo,550000,0,2,2,Anaheim,114 S Harbor Blvd,92805,CA,Orange,1528
