,index,property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,building_size,lot_size
43,43,M2026965862,single_family,449500,1.0,2,4,Carmichael,95608,CA,Sacramento,1749,12902.0
44,44,M1181156356,single_family,565000,0.0,3,4,Rocklin,95765,CA,Placer,2422,6351.0
45,45,M2968754642,single_family,599000,0.0,3,5,Galt,95632,CA,Sacramento,3440,14244.0
46,46,M1778078004,single_family,335000,0.0,2,3,Citrus Heights,95621,CA,Sacramento,1335,7841.0
47,47,M2013521080,single_family,579900,0.0,2,4,Rancho Murieta,95683,CA,Sacramento,2094,3354.0
48,48,M2667307621,single_family,635000,0.0,2,3,Lincoln,95648,CA,Placer,1334,230868.0
49,49,M1647073695,single_family,460000,0.0,3,4,Elk Grove,95758,CA,Sacramento,2196,6504.0
50,50,M1492878597,single_family,739900,1.0,3,4,Rancho Murieta,95683,CA,Sacramento,3730,6364.0
51,51,M1161320236,single_family,425000,0.0,2,3,Woodland,95695,CA,Yolo,1646,14323.0
52,52,M1172026200,single_family,959900,0.0,4,5,Rocklin,95765,CA,Placer,3555,13403.0
53,53,M1046028978,single_family,449000,0.0,2,4,Sacramento,95821,CA,Sacramento,1967,10820.0
54,54,M2756672941,single_family,285000,1.0,1,2,Sacramento,95834,CA,Sacramento,1054,5663.0
55,55,M1760864714,single_family,915000,0.0,3,4,Granite Bay,95746,CA,Placer,2549,10106.0
56,56,M1124433372,single_family,320000,0.0,2,2,Antelope,95843,CA,Sacramento,1090,4905.0
57,57,M2363480869,single_family,539000,0.0,2,3,Davis,95616,CA,Yolo,1234,7527.0
58,58,M1317971003,single_family,1389000,0.0,4,5,Granite Bay,95746,CA,Placer,3931,217800.0
59,59,M1613984687,single_family,157500,0.0,1,2,Sacramento,95838,CA,Sacramento,724,8712.0
60,60,M2430408880,single_family,749000,0.0,3,3,Sacramento,95818,CA,Sacramento,1934,4356.0
61,61,M1316161817,single_family,449900,0.0,3,5,Lodi,95240,CA,San Joaquin,2300,7802.0
62,62,M1075384972,single_family,899000,0.0,3,3,Davis,95616,CA,Yolo,2244,10559.0
63,63,M2606924352,single_family,409000,1.0,2,4,Orangevale,95662,CA,Sacramento,2040,11761.0
64,64,M2787938333,single_family,710000,1.0,2,2,Sacramento,95818,CA,Sacramento,1536,6534.0
65,65,M1703960263,single_family,429900,0.0,2,3,Roseville,95747,CA,Placer,1577,6007.0
66,66,M2224887208,single_family,429000,0.0,1,2,Sacramento,95819,CA,Sacramento,758,3816.0
67,67,M1717584007,single_family,324900,0.0,2,3,Sacramento,95842,CA,Sacramento,1600,6098.0
68,68,M1465894784,single_family,385000,0.0,2,3,Woodland,95776,CA,Yolo,1335,4792.0
69,69,M2198115830,single_family,440000,0.0,3,3,Rancho Cordova,95670,CA,Sacramento,2325,4587.0
70,70,M2748534933,single_family,549000,1.0,3,4,Orangevale,95662,CA,Sacramento,3276,10550.0
71,71,M2164686264,single_family,415000,0.0,2,4,Elk Grove,95624,CA,Sacramento,1744,7614.0
72,72,M1416714378,single_family,600000,0.0,3,4,Roseville,95661,CA,Placer,2608,14074.0
73,73,M1488272141,single_family,445000,1.0,2,4,Sacramento,95829,CA,Sacramento,1881,7449.0
74,74,M2204048057,single_family,379999,1.0,2,2,West Sacramento,95605,CA,Yolo,1313,1742.0
75,75,M2525222885,single_family,299900,0.0,2,3,Sacramento,95842,CA,Sacramento,960,6098.0
76,76,M1325669462,single_family,372000,0.0,2,3,Antelope,95843,CA,Sacramento,1408,6625.0
77,77,M1382195599,single_family,369900,0.0,2,3,Rancho Cordova,95670,CA,Sacramento,1127,6970.0
78,78,M1719075745,single_family,625000,0.0,3,4,Roseville,95678,CA,Placer,3110,7444.0
79,84,P417000483911,single_family,600000,1.0,2,2,Sacramento,95814,CA,Sacramento,1520,
80,94,M2017816538,single_family,439900,0.0,3,4,Elk Grove,95758,CA,Sacramento,2000,5776.0
81,95,M1926446316,single_family,345000,0.0,2,3,Sacramento,95838,CA,Sacramento,1381,5536.0
82,96,M2430309678,single_family,869000,1.0,2,4,Sacramento,95864,CA,Sacramento,2250,9148.0
83,97,M1310859872,single_family,451887,0.0,2,4,Plumas Lake,95961,CA,Yuba,1884,13700.0
84,98,M1941367702,single_family,499900,0.0,3,5,Roseville,95747,CA,Placer,2567,4983.0
85,99,M2328149209,single_family,514900,0.0,2,3,Citrus Heights,95610,CA,Sacramento,2088,9148.0
86,100,M2567890463,single_family,1489000,0.0,4,4,Acampo,95220,CA,San Joaquin,5289,217800.0
87,101,M2501632014,single_family,394500,0.0,2,3,Sacramento,95835,CA,Sacramento,1877,4992.0
88,102,M2897804629,single_family,417000,0.0,2,3,Sacramento,95826,CA,Sacramento,1600,6325.0
89,103,M2075961130,single_family,499000,0.0,2,3,Sacramento,95831,CA,Sacramento,1538,9148.0
90,104,M1340378534,single_family,959000,1.0,2,5,Davis,95616,CA,Yolo,2430,9518.0
91,105,M1194202614,single_family,409895,0.0,2,3,Sacramento,95835,CA,Sacramento,1527,4530.0
92,106,M1209176492,single_family,1125000,0.0,3,4,El Dorado Hills,95762,CA,El Dorado,3266,19184.0
93,107,M2506776243,single_family,319000,0.0,2,3,North Highlands,95660,CA,Sacramento,1309,8276.0
94,108,M1165377271,single_family,429000,0.0,3,4,Citrus Heights,95610,CA,Sacramento,1972,7405.0
95,109,M1932953335,single_family,1330000,0.0,4,5,Granite Bay,95746,CA,Placer,4033,18761.0
96,110,M2305904988,single_family,1250000,0.0,3,4,Davis,95616,CA,Yolo,2223,13286.0
97,111,M1183324934,single_family,369999,0.0,2,3,Elk Grove,95758,CA,Sacramento,1279,4569.0
98,112,M2351931971,single_family,978888,0.0,3,4,Sacramento,95831,CA,Sacramento,3319,8778.0
99,113,M2846430852,single_family,968888,1.0,3,5,El Dorado Hills,95762,CA,El Dorado,3837,16553.0
100,114,M2335485036,single_family,420000,0.0,2,3,West Sacramento,95691,CA,Yolo,1605,6098.0
101,115,M2949385858,single_family,799950,0.0,3,4,Roseville,95661,CA,Placer,2735,15564.0
102,116,M1389499724,single_family,425000,0.0,2,3,Rancho Cordova,95670,CA,Sacramento,1407,6490.0
103,117,M2781747112,single_family,440000,0.0,3,4,Elk Grove,95758,CA,Sacramento,2059,6303.0
104,118,M1657434850,single_family,880000,0.0,4,5,Rocklin,95677,CA,Placer,3896,13656.0
105,119,M1986995097,single_family,557900,0.0,2,3,Roseville,95747,CA,Placer,2069,7418.0
106,120,M9557208734,single_family,602430,0.0,3,4,West Sacramento,95691,CA,Yolo,2114,6626.0
107,121,M1541973587,single_family,449900,0.0,3,4,Rancho Cordova,95670,CA,Sacramento,2109,6965.0
108,122,M2347193176,single_family,395000,0.0,2,3,Roseville,95678,CA,Placer,1513,4822.0
109,123,M2124435132,single_family,768000,0.0,2,2,Newcastle,95658,CA,Placer,1199,261360.0
110,124,M2751506640,single_family,440000,0.0,2,3,Woodland,95695,CA,Yolo,1574,6499.0
111,125,M1000441571,single_family,498000,0.0,3,5,Sacramento,95824,CA,Sacramento,2573,9165.0
112,126,M1713576955,single_family,530000,0.0,3,5,Sacramento,95834,CA,Sacramento,2791,6512.0
113,127,M1555002388,single_family,669000,0.0,3,4,Roseville,95747,CA,Placer,3036,6364.0
114,128,M2539123081,single_family,315000,0.0,1,3,Sacramento,95842,CA,Sacramento,960,8276.0
115,129,M2588749944,single_family,690000,0.0,3,4,Carmichael,95608,CA,Sacramento,2342,19515.0
116,130,M2250115396,single_family,399000,0.0,2,3,Roseville,95678,CA,Placer,1253,6604.0
117,131,M2806214634,single_family,294888,0.0,2,3,Lodi,95240,CA,San Joaquin,1311,7200.0
118,132,M2829625624,single_family,290000,0.0,1,3,Sacramento,95815,CA,Sacramento,1057,7405.0
119,133,M1527096100,single_family,429900,0.0,2,3,Roseville,95661,CA,Placer,1359,8307.0
120,134,M2178495727,single_family,579950,0.0,3,4,Lodi,95242,CA,San Joaquin,2778,7841.0
121,135,M2352260274,single_family,549000,0.0,2,4,Fair Oaks,95628,CA,Sacramento,1724,10454.0
122,136,M2651772828,single_family,390000,0.0,2,3,Sacramento,95835,CA,Sacramento,1358,4713.0
123,137,M2437190609,single_family,399900,0.0,2,3,Sacramento,95834,CA,Sacramento,1838,2509.0
