,property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,lot_size,building_size
133,M1893986030,single_family,1569000,0.0,3,5,San Jose,95117,CA,Santa Clara,6465.0,2051.0
134,M2949130868,single_family,1450000,1.0,1,3,Saratoga,95070,CA,Santa Clara,9664.0,1495.0
135,M2916612221,single_family,1898000,1.0,2,3,Los Gatos,95032,CA,Santa Clara,8323.0,1264.0
136,M2095397168,single_family,1025000,1.0,2,4,Morgan Hill,95037,CA,Santa Clara,16104.0,1395.0
137,M2686268282,single_family,1274999,0.0,2,3,Santa Clara,95051,CA,Santa Clara,5434.0,917.0
138,M2885186791,single_family,1588888,1.0,4,5,San Jose,95127,CA,Santa Clara,11134.0,2648.0
139,M1057738371,single_family,5495000,0.0,5,5,Los Gatos,95030,CA,Santa Clara,65340.0,1733.0
140,M2773421949,single_family,2898000,1.0,3,4,Saratoga,95070,CA,Santa Clara,15594.0,2249.0
141,M1321226071,single_family,2241888,1.0,2,4,Fremont,94539,CA,Alameda,15600.0,1595.0
142,M1711501007,single_family,1200000,0.0,2,4,San Jose,95133,CA,Santa Clara,6090.0,1200.0
143,M1052707469,single_family,2899000,1.0,3,3,Los Gatos,95030,CA,Santa Clara,39374.0,2731.0
144,M1988464641,single_family,2999999,1.0,4,4,San Jose,95120,CA,Santa Clara,23440.0,2266.0
145,M2286930723,single_family,1799000,0.0,3,4,San Jose,95120,CA,Santa Clara,8984.0,1258.0
146,M2619422444,single_family,950000,0.0,2,3,Fremont,94538,CA,Alameda,5000.0,1240.0
147,M2520084129,single_family,1399000,0.0,2,3,San Jose,95125,CA,Santa Clara,6195.0,1242.0
148,M2230933401,single_family,817000,0.0,2,3,Morgan Hill,95037,CA,Santa Clara,12114.0,1600.0
149,M2973588699,single_family,1680000,0.0,2,4,Santa Clara,95051,CA,Santa Clara,6266.0,1947.0
150,M2006414321,single_family,4699000,1.0,5,6,Los Altos,94024,CA,Santa Clara,16997.0,2026.0
151,M1194855427,single_family,1149000,0.0,2,2,San Jose,95125,CA,Santa Clara,6248.0,1746.0
152,M1992551391,single_family,4399000,1.0,3,5,Los Altos,94024,CA,Santa Clara,38250.0,1517.0
153,M2563635328,single_family,1218000,0.0,2,3,Fremont,94538,CA,Alameda,5000.0,2200.0
154,M2389798114,single_family,1399950,1.0,3,5,Morgan Hill,95037,CA,Santa Clara,85378.0,1038.0
155,M2348097525,single_family,1148000,1.0,2,4,Morgan Hill,95037,CA,Santa Clara,12436.0,970.0
156,M1533318015,single_family,998800,0.0,2,3,San Jose,95136,CA,Santa Clara,7066.0,630.0
157,M2729909849,single_family,4989000,2.0,3,5,Los Gatos,95030,CA,Santa Clara,93833.0,1570.0
158,M2932730705,single_family,3195000,1.0,3,4,Stanford,94305,CA,Santa Clara,20181.0,6088.0
159,M2578076936,single_family,785000,0.0,2,3,San Jose,95122,CA,Santa Clara,3097.0,3028.0
160,M2152966383,single_family,4495000,1.0,3,5,Palo Alto,94301,CA,Santa Clara,10650.0,2406.0
161,M2341304882,single_family,3100000,1.0,4,5,San Jose,95125,CA,Santa Clara,8906.0,1176.0
162,M1288813017,single_family,1589000,0.0,3,5,San Jose,95120,CA,Santa Clara,7500.0,7050.0
163,M2514427898,single_family,1849000,0.0,2,3,Menlo Park,94025,CA,San Mateo,6000.0,3350.0
164,M1663787302,single_family,3100000,1.0,4,5,San Jose,95125,CA,Santa Clara,8234.0,1019.0
165,M1663917473,single_family,1099000,1.0,2,4,San Jose,95132,CA,Santa Clara,6014.0,1520.0
166,M1147443701,single_family,1475000,1.0,2,4,San Jose,95120,CA,Santa Clara,8004.0,1592.0
167,M1837620329,single_family,1215000,0.0,2,3,San Jose,95120,CA,Santa Clara,9180.0,1043.0
168,M2718151390,single_family,998000,0.0,2,3,San Jose,95123,CA,Santa Clara,6248.0,1277.0
169,M2253707967,single_family,1380000,0.0,2,3,Sunnyvale,94089,CA,Santa Clara,6240.0,1481.0
170,M2518618070,single_family,1170000,0.0,2,3,Fremont,94538,CA,Alameda,6270.0,1548.0
171,M1791421933,single_family,1800000,1.0,2,4,San Jose,95124,CA,Santa Clara,9452.0,1275.0
172,M1908606875,single_family,1670000,1.0,2,4,San Jose,95125,CA,Santa Clara,6588.0,2814.0
173,M2418162571,single_family,4300000,1.0,3,4,Palo Alto,94301,CA,Santa Clara,5700.0,2659.0
174,M2060794594,single_family,1450000,0.0,3,4,Fremont,94555,CA,Alameda,3760.0,806.0
175,M1924302929,single_family,4500000,1.0,2,4,Palo Alto,94304,CA,Santa Clara,47480.0,3037.0
176,M2358018489,single_family,2188000,1.0,2,4,Cupertino,95014,CA,Santa Clara,7384.0,2825.0
177,M2653798274,single_family,1588000,0.0,2,3,Cupertino,95014,CA,Santa Clara,5583.0,2855.0
178,M2330420506,single_family,1695000,1.0,4,5,Morgan Hill,95037,CA,Santa Clara,33376.0,1840.0
179,M2681831618,single_family,1198000,0.0,2,4,San Jose,95131,CA,Santa Clara,6069.0,1014.0
180,M2924005399,single_family,1325000,1.0,1,2,San Martin,95046,CA,Santa Clara,217330.0,1568.0
181,M2971504955,single_family,1595000,0.0,1,2,Los Gatos,95032,CA,Santa Clara,6077.0,2308.0
182,M1354331710,single_family,3699000,0.0,3,4,Palo Alto,94303,CA,Santa Clara,6325.0,882.0
183,M2150028949,single_family,1050000,0.0,2,4,San Jose,95136,CA,Santa Clara,6855.0,986.0
184,M1823292537,single_family,3880000,1.0,4,6,San Jose,95129,CA,Santa Clara,10916.0,
185,M2441675363,single_family,1475000,0.0,2,3,San Jose,95120,CA,Santa Clara,7882.0,
186,M1345366271,single_family,1230000,0.0,2,2,San Jose,95127,CA,Santa Clara,17411.0,
187,M2946335922,single_family,2495000,1.0,2,4,Saratoga,95070,CA,Santa Clara,14410.0,
188,M1264781650,single_family,11800000,1.0,4,5,Palo Alto,94301,CA,Santa Clara,19998.0,
189,M2112751634,single_family,980000,0.0,2,3,San Jose,95136,CA,Santa Clara,7269.0,
190,M1491508776,single_family,2499000,1.0,3,4,San Jose,95125,CA,Santa Clara,5994.0,
191,M2856147175,single_family,1350000,1.0,1,2,San Jose,95125,CA,Santa Clara,7988.0,
192,M2940063961,single_family,1249000,2.0,2,3,San Jose,95131,CA,Santa Clara,1722.0,
193,M1787891115,single_family,1299950,1.0,2,3,San Jose,95124,CA,Santa Clara,9817.0,
194,M2504361844,single_family,3999000,0.0,4,4,Saratoga,95070,CA,Santa Clara,58993.0,
195,M2133006728,single_family,3298000,0.0,3,5,Los Altos,94024,CA,Santa Clara,10019.0,
196,M2750828547,single_family,775000,0.0,1,3,San Jose,95127,CA,Santa Clara,5809.0,
197,M2323613800,single_family,1649888,0.0,4,5,Morgan Hill,95037,CA,Santa Clara,92822.0,
198,M1202573420,single_family,4195000,1.0,4,6,Mountain View,94041,CA,Santa Clara,23418.0,
199,M2488701833,single_family,899000,0.0,1,2,San Jose,95128,CA,Santa Clara,6059.0,
