,property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,building_size
93,M1508572879,condo,3395000,1.0,2.0,3,San Francisco,94108,CA,San Francisco,2654
94,M2469633346,condo,1699000,0.0,2.0,2,San Francisco,94105,CA,San Francisco,1286
95,M1744056369,condo,611500,0.0,1.0,0,San Francisco,94108,CA,San Francisco,540
96,M2197889699,condo,899000,1.0,2.0,3,Alameda,94502,CA,Alameda,1583
97,M1379730818,condo,549000,0.0,1.0,0,San Francisco,94108,CA,San Francisco,354
98,M1394844037,condo,322768,0.0,1.0,1,San Francisco,94103,CA,San Francisco,635
99,M1684639416,condo,565000,0.0,1.0,0,San Francisco,94109,CA,San Francisco,567
100,M2811080728,condo,2795000,0.0,3.0,3,San Francisco,94109,CA,San Francisco,1948
101,M2208782727,condo,839999,0.0,1.0,2,Emeryville,94608,CA,Alameda,1434
102,M2464709169,condo,800000,0.0,1.0,1,San Francisco,94114,CA,San Francisco,540
103,M2492084260,condo,749000,0.0,1.0,1,San Francisco,94115,CA,San Francisco,653
104,M2721144677,condo,1850000,0.0,2.0,2,San Francisco,94158,CA,San Francisco,1218
105,M2020503813,condo,829900,1.0,2.0,4,Alameda,94502,CA,Alameda,1628
106,M9756595358,condo,775000,0.0,1.0,0,San Francisco,94123,CA,San Francisco,424
107,M2891669474,condo,569000,0.0,1.0,1,Emeryville,94608,CA,Alameda,768
108,M2284767984,condo,559000,0.0,1.0,1,Emeryville,94608,CA,Alameda,768
109,M2069131894,condo,799000,0.0,1.0,2,San Francisco,94115,CA,San Francisco,816
110,M1422718962,condo,725000,0.0,2.0,2,San Francisco,94124,CA,San Francisco,1011
111,M2966154677,condo,588000,1.0,1.0,2,Daly City,94014,CA,San Mateo,838
112,M1944130731,condo,800000,0.0,2.0,2,Emeryville,94608,CA,Alameda,1550
113,M2861443922,condo,389000,1.0,1.0,1,Oakland,94602,CA,Alameda,864
114,M2084747913,condo,1398000,0.0,2.0,2,San Francisco,94114,CA,San Francisco,1208
115,M1430283948,condo,1695000,0.0,2.0,2,San Francisco,94158,CA,San Francisco,1376
116,M2506944383,condo,485000,0.0,1.0,1,Oakland,94607,CA,Alameda,822
117,M2371314053,condo,1595000,1.0,1.0,3,San Francisco,94117,CA,San Francisco,1373
118,M2257086693,condo,1795000,0.0,2.0,2,San Francisco,94158,CA,San Francisco,1218
119,M1677866766,condo,1050000,0.0,1.0,1,San Francisco,94105,CA,San Francisco,790
120,M1188539229,condo,749000,0.0,1.0,1,Berkeley,94703,CA,Alameda,870
121,M2581610993,condo,419000,0.0,1.0,0,San Francisco,94102,CA,San Francisco,256
122,M2294059340,condo,960000,1.0,1.0,1,San Francisco,94107,CA,San Francisco,1115
123,M2167548373,condo,799000,0.0,1.0,1,San Francisco,94109,CA,San Francisco,712
124,M2099150237,condo,1750000,0.0,1.0,3,San Francisco,94131,CA,San Francisco,1411
125,M2140530227,condo,549000,0.0,0.0,0,Oakland,94612,CA,Alameda,614
126,M2355905947,condo,6750000,1.0,4.0,5,San Francisco,94118,CA,San Francisco,3418
127,M1182588662,condo,1150000,0.0,2.0,3,San Francisco,94112,CA,San Francisco,1355
128,M1428681512,condo,2695000,0.0,3.0,3,San Francisco,94158,CA,San Francisco,1877
129,M2570410454,condo,1495000,0.0,2.0,2,San Francisco,94107,CA,San Francisco,1321
130,M1948699159,condo,749000,0.0,1.0,1,Emeryville,94608,CA,Alameda,1456
131,M1380928802,condo,1388000,0.0,5.0,5,San Francisco,94122,CA,San Francisco,2281
132,M1844910206,condo,875000,0.0,1.0,2,San Francisco,94110,CA,San Francisco,996
133,M1414781316,condo,2495000,0.0,2.0,2,San Francisco,94105,CA,San Francisco,1403
134,M2330716891,condo,479000,0.0,1.0,1,Emeryville,94608,CA,Alameda,743
135,M2770013964,condo,1249000,0.0,2.0,2,San Francisco,94115,CA,San Francisco,1353
136,M1111969090,condo,799000,0.0,2.0,2,San Francisco,94124,CA,San Francisco,1046
137,M1998166014,condo,1875000,1.0,1.0,2,San Francisco,94107,CA,San Francisco,1306
138,M1627664495,condo,799000,1.0,2.0,3,Oakland,94601,CA,Alameda,1993
139,M1632916030,condo,1195000,1.0,2.0,3,San Francisco,94132,CA,San Francisco,2062
140,M1423870540,condo,949000,0.0,2.0,2,San Francisco,94121,CA,San Francisco,1084
141,M2757822956,condo,849000,0.0,2.0,2,Oakland,94612,CA,Alameda,944
142,M2814158912,condo,795000,1.0,2.0,2,Emeryville,94608,CA,Alameda,1296
143,M1300282701,condo,1425000,0.0,2.0,2,San Francisco,94107,CA,San Francisco,1120
144,M2958950550,condo,975000,0.0,1.0,2,Oakland,94612,CA,Alameda,967
145,M2955175318,condo,1499000,0.0,1.0,2,San Francisco,94117,CA,San Francisco,1295
