,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size,lot_size
72,M9913972009,single_family,2850000,0.0,,0,Carpinteria,4120 Foothill Rd,93013,CA,Santa Barbara,1973.0,6098.0
73,M1092080298,single_family,6850000,2.0,5.0,6,Montecito,1845 E Mountain Dr,93108,CA,Santa Barbara,2674.0,33541.0
74,M1113029871,single_family,8995000,2.0,6.0,6,Montecito,610 Cima Vista Ln,93108,CA,Santa Barbara,2070.0,8276.0
75,M1124129009,single_family,9900000,1.0,6.0,5,Santa Barbara,1639 Fernald Point Ln,93108,CA,Santa Barbara,1899.0,6098.0
76,M2136879635,single_family,1169000,0.0,2.0,2,Santa Barbara,3617 San Gabriel Ln,93105,CA,Santa Barbara,1430.0,8712.0
77,M2536307378,single_family,3150000,1.0,4.0,3,Santa Barbara,330 E Mountain Dr,93108,CA,Santa Barbara,2136.0,76666.0
78,M1744606951,single_family,629000,0.0,2.0,0,Santa Barbara,715 W Arrellaga St,93101,CA,Santa Barbara,2029.0,13504.0
79,M1155289634,single_family,1195000,0.0,2.0,3,Santa Barbara,2218 Channing Way,93109,CA,Santa Barbara,1668.0,1742.0
80,M1117346607,single_family,1195000,0.0,2.0,2,Santa Barbara,909 Alameda Padre Serra,93103,CA,Santa Barbara,2370.0,27878.0
81,M1218418141,single_family,2075000,0.0,5.0,5,Santa Barbara,1122 Bel Air Dr,93105,CA,Santa Barbara,2716.0,8200.0
82,M2038050355,single_family,1159000,0.0,2.0,4,Carpinteria,1480 Anita St,93013,CA,Santa Barbara,2022.0,6970.0
83,M1666558770,single_family,2250000,0.0,3.0,4,Santa Barbara,1478 Twinridge Rd,93111,CA,Santa Barbara,5216.0,134600.0
84,M1965258597,single_family,1095000,0.0,2.0,4,Santa Barbara,1450 Las Positas Pl,93105,CA,Santa Barbara,1348.0,1742.0
85,M1598002734,single_family,6500000,0.0,2.0,4,Santa Barbara,2339 Edgewater Way,93109,CA,Santa Barbara,1142.0,6534.0
86,M2674813514,single_family,2495000,0.0,3.0,4,Santa Barbara,4162 Cresta Ave,93110,CA,Santa Barbara,3200.0,34848.0
87,M2776300048,single_family,5500000,0.0,4.0,5,Santa Barbara,1630 Mira Vista Ave,93103,CA,Santa Barbara,2536.0,7405.0
88,M1212008399,single_family,1795000,1.0,2.0,3,Santa Barbara,244 Palisades Dr,93109,CA,Santa Barbara,1800.0,6534.0
89,M2915706864,single_family,1199000,0.0,3.0,4,Santa Barbara,946 Saint Marys Ln,93111,CA,Santa Barbara,1823.0,7405.0
90,M1053025590,single_family,2285000,0.0,2.0,3,Santa Barbara,18 Celine Dr,93105,CA,Santa Barbara,3611.0,14810.0
91,M9144619526,single_family,27500000,3.0,8.0,5,Goleta,14200 Calle Real,93117,CA,Santa Barbara,2685.0,14810.0
92,M1740316293,single_family,1175000,0.0,2.0,3,Santa Barbara,5363 University Dr,93111,CA,Santa Barbara,1367.0,6970.0
93,M2031107518,single_family,925000,1.0,1.0,3,Santa Barbara,329 W Valerio St,93101,CA,Santa Barbara,1665.0,7840.0
94,M2929718859,single_family,1149000,0.0,2.0,2,Santa Barbara,1055 May Ct,93111,CA,Santa Barbara,1821.0,8712.0
95,M2004351760,single_family,1598000,1.0,2.0,3,Santa Barbara,3 Orizaba Ln,93103,CA,Santa Barbara,1840.0,7405.0
96,M1503987058,single_family,1299000,1.0,2.0,4,Santa Barbara,1538 Crestline Dr,93105,CA,Santa Barbara,2513.0,14810.0
97,M2226553076,single_family,1688000,0.0,2.0,2,Santa Barbara,1227 De La Vina St Apt C,93101,CA,Santa Barbara,5441.0,94961.0
98,M2834731120,single_family,2950000,2.0,2.0,4,Montecito,2275 Featherhill Rd,93108,CA,Santa Barbara,3189.0,27878.0
99,M1670145040,single_family,1975000,1.0,2.0,3,Santa Barbara,1704 Mission Ridge Rd,93103,CA,Santa Barbara,9056.0,58806.0
100,M2959450783,single_family,2495000,1.0,3.0,4,Santa Barbara,3315 Los Pinos Dr,93105,CA,Santa Barbara,1595.0,9148.0
101,M1473388571,single_family,1150000,1.0,2.0,3,Santa Barbara,5015 Whitney Ct,93111,CA,Santa Barbara,5836.0,43560.0
102,M2592820217,single_family,9875000,2.0,4.0,5,Montecito,2662 Sycamore Canyon Rd,93108,CA,Santa Barbara,1500.0,10000.0
