,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size,lot_size
171,M2692960775,single_family,300000,0.0,2,4,Fresno,5231 W University Ave,93722,CA,Fresno,1178.0,8102.0
172,M9138976590,single_family,237690,0.0,2,3,Sanger,555 Birch Ave Unit 175,93657,CA,Fresno,1860.0,8024.0
173,M1017870814,single_family,355000,0.0,2,3,Fresno,2153 E Ryan Ave,93720,CA,Fresno,744.0,4800.0
174,M2400907217,single_family,265000,1.0,1,3,Fresno,545 E Clinton Ave,93704,CA,Fresno,2877.0,88427.0
175,M1970261985,single_family,565000,0.0,2,4,Fresno,707 E Hampton Way,93704,CA,Fresno,1482.0,5671.0
176,M9223313478,single_family,274900,0.0,2,4,Fresno,535 N Fulton St,93728,CA,Fresno,1767.0,8740.0
177,M2190604131,single_family,299900,0.0,2,3,Clovis,2239 Sunnyside Ave,93611,CA,Fresno,1974.0,
178,M2533637131,single_family,255000,0.0,2,3,Fresno,5543 N Polk Ave,93722,CA,Fresno,3319.0,
179,M2511731756,single_family,315900,0.0,3,3,Clovis,3231 Alps Ln,93619,CA,Fresno,2313.0,
180,M2081401496,single_family,589900,1.0,3,5,Clovis,3361 Enterprise Ave,93619,CA,Fresno,2333.0,
181,P417000445863,single_family,532744,1.0,2,5,Clovis,,93619,CA,Madera,,
182,P417000445862,single_family,559531,0.0,3,4,Clovis,,93619,CA,Madera,,
183,P413791633842,single_family,447900,0.0,2,3,Madera,"819 Treasure Hills Drive, Hillside Village at Tesoro Viejo",93636,CA,Madera,,
184,P413888592480,single_family,398990,1.0,2,4,Madera,4528 Orchard Hills Road,93636,CA,Madera,,
185,P415141983860,single_family,387243,1.0,3,4,Fresno,5551 North Salinas Avenue,93711,CA,Fresno,,
186,M2845254942,single_family,324900,1.0,2,4,Clovis,249 W Athens Ave,93611,CA,Fresno,,
187,M1288913380,single_family,455000,0.0,3,4,Clovis,3324 Sierra Madre Ave,93619,CA,Fresno,,
188,M9652689567,single_family,432277,0.0,3,4,Clovis,3815 Jesse Ln,93619,CA,Fresno,,
189,M2344336658,single_family,426504,0.0,3,4,Clovis,3813 Hannah Ln,93619,CA,Fresno,,
190,M2323953046,single_family,240000,0.0,2,3,Fresno,1213 E Simpson Ave,93704,CA,Fresno,,
191,M2073902606,single_family,305000,0.0,3,4,Fresno,6708 E Heaton Ave,93727,CA,Fresno,,
192,M2776100725,single_family,139999,0.0,1,2,Fresno,1536 N Calaveras St,93728,CA,Fresno,,
193,M2753059000,single_family,609950,0.0,3,5,Clovis,6195 N DE Wolf Ave,93619,CA,Fresno,,
194,M2278138681,single_family,249900,0.0,2,3,Fresno,4623 W Berkeley Ave,93722,CA,Fresno,,
195,M2896011156,single_family,345000,0.0,2,3,Clovis,137 Minarets Ave,93611,CA,Fresno,,
196,P415420117424,single_family,430900,0.0,2,3,Madera,"819 Treasure Hills Drive, Hillside Village at Tesoro Viejo",93636,CA,Madera,,
197,P414761363924,single_family,751950,1.0,4,5,Fresno,2314 E Kynzlee Avenue,93730,CA,Fresno,,
198,P415215710669,single_family,365454,1.0,2,4,Fresno,5551 North Salinas Avenue,93711,CA,Fresno,,
199,P413910222018,single_family,402040,1.0,2,3,Madera,4528 Orchard Hills Road,93636,CA,Madera,,
