,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size
16,M2864924604,condo,959000,0.0,3.0,3,Santa Barbara,262 Calle Esperanza,93105,CA,Santa Barbara,1646.0
17,M2015604885,condo,699000,0.0,2.0,2,Santa Barbara,3835 Mariana Way,93105,CA,Santa Barbara,1179.0
18,M2826827591,condo,649000,1.0,1.0,2,Santa Barbara,415 W Gutierrez St Apt 16,93101,CA,Santa Barbara,1047.0
19,M1771329781,condo,1269000,0.0,1.0,1,Santa Barbara,1308 Plaza De Sonadores,93108,CA,Santa Barbara,806.0
20,M1740469451,condo,480000,0.0,2.0,2,Santa Barbara,945 Ward Dr Spc 14,93111,CA,Santa Barbara,1120.0
21,M2893143299,condo,614000,1.0,1.0,2,Santa Barbara,969 Miramonte Dr Apt 5,93109,CA,Santa Barbara,1049.0
22,M1479185730,condo,835000,1.0,1.0,1,Santa Barbara,1426 Laguna St Unit A,93101,CA,Santa Barbara,662.0
23,M2729195897,condo,599000,0.0,1.0,1,Santa Barbara,331 Por La Mar Cir,93103,CA,Santa Barbara,3438.0
24,M1660857874,condo,4250000,1.0,3.0,3,Santa Barbara,531 Chapala St Unit G,93101,CA,Santa Barbara,1258.0
25,M2910420175,condo,715000,0.0,2.0,3,Santa Barbara,1932 N Jameson Ln Unit B,93108,CA,Santa Barbara,1451.0
26,M1994274059,condo,1289000,0.0,2.0,2,Santa Barbara,3724 State St Unit 207,93105,CA,Santa Barbara,1319.0
27,M2641658198,condo,749000,1.0,2.0,2,Santa Barbara,34 Ocean View Ave Apt 5,93103,CA,Santa Barbara,1009.0
28,M2182444510,condo,569000,0.0,1.0,1,Santa Barbara,30 W Constance Ave Unit 2,93105,CA,Santa Barbara,1459.0
29,M1810186234,condo,1295000,0.0,2.0,2,Santa Barbara,3718 State St Unit 216,93105,CA,Santa Barbara,1278.0
30,M2139115591,condo,690000,0.0,2.0,3,Santa Barbara,415 W Gutierrez St Apt 6,93101,CA,Santa Barbara,1155.0
31,M2587462145,condo,799500,0.0,2.0,2,Santa Barbara,66 Barranca Ave Apt 4,93109,CA,Santa Barbara,1232.0
32,M1953296230,condo,825000,0.0,2.0,2,Santa Barbara,2028 Chapala St Unit B,93105,CA,Santa Barbara,1682.0
33,M2198059214,condo,1125000,1.0,2.0,2,Santa Barbara,328 W Alamar Ave Apt A,93105,CA,Santa Barbara,891.0
34,M2042287300,condo,625000,0.0,2.0,2,Santa Barbara,1600 Garden St Apt 35,93101,CA,Santa Barbara,1408.0
