,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size,lot_size
177,M2675150956,single_family,1850000,1.0,2.0,4,Los Angeles,421 N Skyewiay Rd,90049,CA,Los Angeles,2837.0,6336.0
178,M1014500951,single_family,5750000,0.0,4.0,4,Los Angeles,1423 Devlin Dr,90069,CA,Los Angeles,4683.0,12297.0
179,M2596009466,single_family,6995000,0.0,8.0,6,Los Angeles,1400 Warnall Ave,90024,CA,Los Angeles,41000.0,58719.0
180,M1075414565,single_family,3550000,0.0,4.0,4,Los Angeles,1440 N Kings Rd,90069,CA,Los Angeles,3286.0,6653.0
181,M2839760921,single_family,4495000,1.0,5.0,6,Los Angeles,1743 N Stanley Ave,90046,CA,Los Angeles,18850.0,69689.0
182,M1800407488,single_family,100000000,0.0,21.0,8,Los Angeles,10697 Somma Way,90077,CA,Los Angeles,6000.0,20596.0
183,M1537453923,single_family,2299000,1.0,4.0,4,Los Angeles,3473 Rowena Ave,90027,CA,Los Angeles,2068.0,7499.0
184,M1238213354,single_family,56000000,5.0,10.0,9,Los Angeles,11490 Orum Rd,90049,CA,Los Angeles,2800.0,5686.0
185,M1983086298,single_family,5295000,0.0,7.0,5,Studio City,11540 Amanda Dr,91604,CA,Los Angeles,1448.0,7500.0
186,M1055944531,single_family,1599000,1.0,2.0,3,Studio City,11230 Valley Spring Ln,91602,CA,Los Angeles,1529.0,5150.0
187,M1360254366,single_family,2399000,0.0,4.0,4,Los Angeles,2845 N Beachwood Dr,90068,CA,Los Angeles,2097.0,5750.0
188,M2747307970,single_family,1499000,0.0,3.0,2,Valley Village,4961 Agnes Ave,91607,CA,Los Angeles,1643.0,5185.0
189,M1967344389,single_family,1885000,0.0,3.0,3,Venice,1016 Indiana Ave,90291,CA,Los Angeles,22000.0,7246.0
190,M1983666872,single_family,2189000,0.0,3.0,4,Los Angeles,3611 Moore St,90066,CA,Los Angeles,2679.0,4834.0
191,M2055450644,single_family,1269888,1.0,2.0,3,Los Angeles,2266 Moss Ave,90065,CA,Los Angeles,2368.0,8259.0
192,M1431994454,single_family,520000,0.0,1.0,3,Los Angeles,922 E 85th St,90001,CA,Los Angeles,1329.0,5100.0
193,M2287573782,single_family,1495000,0.0,28.0,15,Los Angeles,532 W Vernon Ave,90037,CA,Los Angeles,4280.0,4835.0
194,M2890808965,single_family,2995000,0.0,3.0,4,Pacific Palisades,16733 Bollinger Dr,90272,CA,Los Angeles,1440.0,3927.0
195,M2414866018,single_family,1459000,1.0,2.0,4,Los Angeles,2131 Baxter St,90039,CA,Los Angeles,2600.0,6077.0
