property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,building_size,lot_size
M1014640049,single_family,214900,1.0,1.0,3,Fresno,93727,CA,Fresno,3403.0,20038.0
M1981318598,single_family,250000,0.0,2.0,3,Fresno,93727,CA,Fresno,3063.0,12632.0
M1350082170,single_family,296800,0.0,3.0,4,Fresno,93710,CA,Fresno,1470.0,6000.0
M2076183166,single_family,425000,0.0,2.0,4,Fresno,93720,CA,Fresno,2251.0,7980.0
M2186378558,single_family,695900,1.0,2.0,5,Fresno,93720,CA,Fresno,1248.0,6000.0
M2297617397,single_family,425000,0.0,3.0,3,Fresno,93720,CA,Fresno,1223.0,8750.0
M1786641314,single_family,209725,0.0,1.0,3,Fresno,93725,CA,Fresno,2468.0,8120.0
P412623285736,single_family,319000,0.0,2.0,3,Fresno,93727,CA,Fresno,2148.0,6572.0
P413013252063,single_family,420560,1.0,3.0,5,Fresno,93711,CA,Fresno,1588.0,5250.0
P412262390925,single_family,384990,0.0,2.0,3,Clovis,93619,CA,Fresno,3534.0,11326.0
P415725951614,single_family,345054,1.0,2.0,4,Fowler,93625,CA,Fresno,1080.0,6100.0
M2069638882,single_family,249450,0.0,2.0,3,Clovis,93612,CA,Fresno,2625.0,6700.0
M2487545669,single_family,335000,0.0,2.0,3,Clovis,93619,CA,Fresno,2050.0,5794.0
M2274253423,single_family,360000,0.0,3.0,5,Fresno,93722,CA,Fresno,1362.0,7500.0
M2473161015,single_family,429900,0.0,2.0,3,Clovis,93619,CA,Fresno,3550.0,5850.0
M1310189358,single_family,310600,0.0,2.0,3,Fresno,93737,CA,Fresno,1764.0,6000.0
M2185200415,single_family,899000,0.0,4.0,4,Fresno,93730,CA,Fresno,1218.0,7200.0
M2045043360,single_family,205000,0.0,2.0,3,Fresno,93727,CA,Fresno,3331.0,87556.0
M1399057107,single_family,410000,0.0,3.0,5,Fresno,93737,CA,Fresno,3024.0,4500.0
M9625592456,single_family,356661,0.0,2.0,4,Fresno,93727,CA,Fresno,1784.0,6012.0
M2762036944,single_family,215000,0.0,2.0,3,Sanger,93657,CA,Fresno,1086.0,6500.0
M2957958525,single_family,229900,0.0,2.0,4,Fresno,93702,CA,Fresno,2008.0,6000.0
M9154585444,single_family,462427,2.0,2.0,3,Clovis,93619,CA,Fresno,1425.0,8400.0
M2368335925,single_family,385034,2.0,2.0,3,Fresno,93730,CA,Fresno,3564.0,10454.0
M9799410148,single_family,652399,0.0,3.0,4,Fresno,93730,CA,Fresno,1301.0,2940.0
M9609598760,single_family,382935,0.0,2.0,3,Fresno,93727,CA,Fresno,3280.0,10019.0
M2362634235,single_family,656590,0.0,3.0,4,Clovis,93619,CA,Fresno,4985.0,13504.0
M2353914005,single_family,391297,0.0,2.0,3,Clovis,93619,CA,Fresno,1790.0,5200.0
M1423794050,single_family,350000,0.0,2.0,3,Fresno,93730,CA,Fresno,1700.0,7085.0
M2337044764,single_family,564900,0.0,3.0,5,Fresno,93720,CA,Fresno,1847.0,12632.0
M1772297777,single_family,1475000,0.0,4.0,5,Fresno,93730,CA,Fresno,4049.0,12596.0
M2445919611,single_family,315000,1.0,2.0,4,Fresno,93727,CA,Fresno,1649.0,10890.0
P417000450355,single_family,314950,0.0,2.0,3,Fresno,93727,CA,Fresno,2148.0,8710.0
P417000450585,single_family,348950,1.0,2.0,3,Fresno,93727,CA,Fresno,2223.0,6200.0
P417000449120,single_family,361900,1.0,2.0,3,Madera,93636,CA,Madera,2876.0,12632.0
P415468457298,single_family,298000,0.0,2.0,3,Fresno,93727,CA,Fresno,2496.0,409028.0
P415406665469,single_family,421990,0.0,4.0,5,Madera,93636,CA,Madera,1499.0,14375.0
P412915817530,single_family,308800,0.0,2.0,3,Fowler,93625,CA,Fresno,3038.0,8505.0
P413672042952,single_family,410028,1.0,3.0,5,Fresno,93711,CA,Fresno,2654.0,6120.0
P412031646114,single_family,374990,0.0,2.0,3,Clovis,93619,CA,Fresno,1872.0,7350.0
M1786818930,single_family,364900,0.0,2.0,3,Fresno,93720,CA,Fresno,1206.0,7000.0
M2789676901,single_family,349000,0.0,2.0,3,Fresno,93711,CA,Fresno,1466.0,7480.0
M1543838840,single_family,1750000,0.0,3.0,4,Fresno,93730,CA,Fresno,2256.0,8750.0
M2287684906,single_family,375000,0.0,2.0,3,Clovis,93611,CA,Fresno,1607.0,6901.0
M2234167863,single_family,375000,1.0,2.0,4,Fresno,93723,CA,Fresno,1620.0,4816.0
M1816241845,single_family,259900,0.0,2.0,3,Clovis,93612,CA,Fresno,1513.0,4000.0
M2905159591,single_family,354999,0.0,2.0,4,Fresno,93723,CA,Fresno,2278.0,7150.0
M2630709866,single_family,619900,0.0,3.0,4,Clovis,93619,CA,Fresno,2101.0,10454.0
M1695709266,single_family,775000,1.0,2.0,5,Clovis,93619,CA,Fresno,2600.0,6480.0
M1612583469,single_family,219000,0.0,2.0,3,Fresno,93726,CA,Fresno,1379.0,4380.0
M2571573860,single_family,479900,1.0,3.0,6,Clovis,93611,CA,Fresno,1684.0,6000.0
M9159949692,single_family,470010,0.0,3.0,4,Fresno,93727,CA,Fresno,1373.0,7800.0
M2269940174,single_family,315000,0.0,3.0,6,Fresno,93722,CA,Fresno,1592.0,1875.0
M2560068680,single_family,324900,0.0,2.0,4,Kerman,93630,CA,Fresno,1652.0,14810.0
M2694809184,single_family,305000,0.0,2.0,4,Fresno,93727,CA,Fresno,2031.0,10200.0
M2506530270,single_family,305000,0.0,2.0,3,Fresno,93720,CA,Fresno,1271.0,7000.0
M2244562067,single_family,225000,0.0,2.0,3,Fresno,93722,CA,Fresno,1103.0,5250.0
M9635250012,single_family,532744,1.0,2.0,3,Clovis,93619,CA,Fresno,1482.0,6825.0
M2801341141,single_family,255000,0.0,2.0,2,Fresno,93711,CA,Fresno,3312.0,8250.0
M1532536225,single_family,375000,0.0,2.0,3,Fresno,93705,CA,Fresno,1028.0,6250.0
P417000447722,single_family,349950,1.0,2.0,4,Fresno,93727,CA,Fresno,2576.0,14375.0
P417000447863,single_family,305950,0.0,2.0,2,Fresno,93727,CA,Fresno,1104.0,6000.0
P417000447723,single_family,462427,1.0,2.0,4,Clovis,93619,CA,Madera,1742.0,6800.0
P417000446718,single_family,404900,0.0,3.0,4,Clovis,93619,CA,Fresno,1614.0,7350.0
M2603533518,single_family,399900,0.0,2.0,3,Fresno,93711,CA,Fresno,2185.0,8436.0
M2173759925,single_family,290000,0.0,2.0,3,Clovis,93611,CA,Fresno,1029.0,4500.0
M2552903623,single_family,237500,0.0,2.0,3,Fresno,93722,CA,Fresno,1740.0,6656.0
M2272749641,single_family,199000,0.0,3.0,5,Fresno,93705,CA,Fresno,1922.0,8100.0
M1200671634,single_family,214500,1.0,1.0,3,Fresno,93702,CA,Fresno,2830.0,14810.0
P415965746556,single_family,397130,1.0,3.0,4,Fresno,93711,CA,Fresno,1736.0,7405.0
P414878208966,single_family,506900,1.0,2.0,3,Madera,93636,CA,Madera,1628.0,7345.0
P413878803427,single_family,335800,0.0,2.0,4,Fowler,93625,CA,Fresno,1248.0,6500.0
P413073845380,single_family,411136,0.0,3.0,4,Madera,93636,CA,Madera,1753.0,3150.0
P411864444920,single_family,580900,1.0,2.0,2,Madera,93636,CA,Madera,3331.0,17424.0
M1379857658,single_family,179999,0.0,2.0,3,Fresno,93705,CA,Fresno,2033.0,4200.0
M1457843903,single_family,220000,1.0,1.0,5,Fresno,93702,CA,Fresno,2491.0,8050.0
M9585951722,single_family,326000,0.0,2.0,4,Fresno,93727,CA,Fresno,2316.0,5141.0
M2182554687,single_family,258500,0.0,2.0,4,Clovis,93612,CA,Fresno,2316.0,5684.0
M2692960775,single_family,300000,0.0,2.0,4,Fresno,93722,CA,Fresno,1178.0,8102.0
M9138976590,single_family,237690,0.0,2.0,3,Sanger,93657,CA,Fresno,1860.0,8024.0
M1017870814,single_family,355000,0.0,2.0,3,Fresno,93720,CA,Fresno,744.0,4800.0
M2400907217,single_family,265000,1.0,1.0,3,Fresno,93704,CA,Fresno,2877.0,88427.0
M1970261985,single_family,565000,0.0,2.0,4,Fresno,93704,CA,Fresno,1482.0,5671.0
M9223313478,single_family,274900,0.0,2.0,4,Fresno,93728,CA,Fresno,1767.0,8740.0
